,,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850,1900,1950,2000,2050,2100,2150,2200,2250,2300,2350,2400,2450,2500,2550,2600,2650,2700,2750,2800,2850,2900,2950,3000,3050,3100,3150,3200,3250,3300,3350,3400,3450,3500,3550,3600,3650,3700,3750,3800,3850,3900,3950,4000,4050,4100,4150,4200,4250,4300,4350,4400,4450,4500,4550,4600,4650,4700,4750,4800,4850,4900,4950,5000,5050,5100,5150,5200,5250,5300,5350,5400,5450,5500,5550,5600,5650,5700,5750,5800,5850,5900,5950,6000,6050,6100,6150,6200,6250,6300,6350,6400,6450,6500,6550,6600,6650,6700,6750,6800,6850,6900,6950,7000,7050,7100,7150,7200,7250,7300,7350,7400,7450,7500,7550,7600,7650,7700,7750,7800,7850,7900,7950,8000,8050,8100,8150,8200,8250,8300,8350,8400,8450,8500,8550,8600,8650,8700,8750,8800,8850,8900,8950,9000,9050,9100,9150,9200,9250,9300,9350,9400,9450,9500,9550,9600,9650,9700,9750,9800,9850,9900,9950,10000,10050,10100,10150,10200,10250,10300,10350,10400,10450,10500,10550,10600,10650,10700,10750,10800,10850,10900,10950,11000,11050,11100,11150,11200,11250,11300,11350,11400,11450,11500,11550,11600,11650,11700,11750,11800,11850,11900,11950,12000,12050,12100,12150,12200,12250,12300,12350,12400,12450,12500,12550,12600,12650,12700,12750,12800,12850,12900,12950,13000,13050,13100,13150,13200,13250,13300,13350,13400,13450,13500,13550,13600,13650,13700,13750,13800,13850,13900,13950,14000,14050,14100,14150,14200,14250,14300,14350,14400,14450,14500,14550,14600,14650,14700,14750,14800,14850,14900,14950,15000,15050,15100,15150,15200,15250,15300,15350,15400,15450,15500,15550,15600,15650,15700,15750,15800,15850,15900,15950,16000,16050,16100,16150,16200,16250,16300,16350,16400,16450,16500,16550,16600,16650,16700,16750,16800,16850,16900,16950,17000,17050,17100,17150,17200,17250,17300,17350,17400,17450,17500,17550,17600,17650,17700,17750,17800,17850,17900,17950,18000,18050,18100,18150,18200,18250,18300,18350,18400,18450,18500,18550,18600,18650,18700,18750,18800,18850,18900,18950,19000,19050,19100,19150,19200,19250,19300,19350,19400,19450,19500,19550,19600,19650
loss,value,-141824.5625,-201603.203125,-204092.140625,-201223.078125,-203770.78125,-208412.484375,-211292.921875,-312777.3125,-347230.40625,-356938.96875,-364938.21875,-367524.65625,-373474.8125,-371502.25,-362870.6875,-368593.84375,-378782.28125,-379921.5,-379854.375,-381581.59375,-383218.25,-379856.78125,-378454.09375,-379434.84375,-377370.75,-377806.21875,-379194.9375,-374993.03125,-377051.21875,-379133.46875,-380195.96875,-381644.03125,-382537.78125,-378258.5625,-382017.0625,-380178.84375,-381182.53125,-379128.65625,-380484.53125,-380363.78125,-383238.625,-381111.78125,-384040.96875,-384602.28125,-384831.5625,-387456.21875,-380783.84375,-382143.84375,-386469.6875,-383655.75,-386515.875,-387929.6875,-389346.90625,-389837.25,-387580.625,-385257.09375,-389823.1875,-389507.1875,-387798.4375,-388511.5625,-387625.21875,-390479.25,-386851.84375,-389403.875,-390252.78125,-387878.65625,-389175.375,-391749.21875,-390871.5,-390679.3125,-394662.6875,-390104.03125,-392561.375,-391939.0625,-393408.3125,-394580.0,-393268.8125,-392221.1875,-395237.46875,-396044.8125,-393903.0625,-395667.0625,-399304.375,-398875.0625,-396028.03125,-397920.5625,-399127.625,-399040.40625,-398083.375,-397428.65625,-401323.78125,-397658.4375,-398339.5,-399151.21875,-396863.34375,-400620.625,-402708.375,-401645.59375,-400687.3125,-397722.90625,-398252.53125,-398574.21875,-397771.375,-399351.71875,-401483.5625,-400581.875,-400298.78125,-400934.15625,-399667.5625,-400196.125,-401342.15625,-400099.1875,-398031.34375,-402051.5,-400815.59375,-401320.15625,-400150.75,-400990.90625,-401441.5625,-402891.59375,-398954.03125,-400858.40625,-399153.25,-400953.6875,-401892.84375,-400348.53125,-401489.78125,-396971.375,-398001.78125,-401666.9375,-401501.59375,-400211.96875,-401133.46875,-402507.90625,-400910.96875,-401333.71875,-401124.78125,-399306.15625,-402192.0,-400382.8125,-401549.375,-398805.15625,-396676.40625,-400446.40625,-399732.4375,-396400.6875,-400908.5625,-400978.3125,-399955.625,-402776.125,-399773.625,-402168.21875,-400822.15625,-397135.625,-399538.9375,-401357.90625,-402010.4375,-400683.875,-398011.59375,-400614.6875,-400741.4375,-400836.8125,-402360.96875,-396974.21875,-401214.125,-401711.71875,-403052.6875,-401519.3125,-402123.34375,-403459.09375,-399797.6875,-399036.8125,-401055.3125,-400496.8125,-401598.625,-404929.71875,-402787.71875,-401505.875,-399857.34375,-400570.8125,-402383.625,-399898.5,-401334.9375,-399172.40625,-399275.4375,-400840.3125,-401313.03125,-401026.03125,-401074.84375,-403302.21875,-402171.03125,-402558.375,-401322.21875,-401261.90625,-399462.21875,-399079.625,-399660.15625,-404653.25,-402331.375,-400256.9375,-401880.6875,-403233.6875,-403398.3125,-403624.21875,-400838.09375,-401524.9375,-400793.84375,-399638.0,-401536.09375,-401492.53125,-398719.90625,-402871.375,-401044.5,-403739.375,-402926.4375,-403421.09375,-404443.90625,-400720.15625,-400177.21875,-405730.625,-404618.03125,-404133.59375,-404636.65625,-403697.3125,-401505.6875,-405594.90625,-402981.6875,-400349.84375,-403800.375,-405590.0,-404223.625,-402230.53125,-405073.78125,-403844.28125,-405335.15625,-404785.71875,-406790.65625,-404042.625,-403636.09375,-403213.34375,-404125.5625,-403280.9375,-402393.78125,-406177.5625,-404455.90625,-403772.40625,-405537.78125,-404099.625,-406190.5625,-405854.8125,-400791.59375,-405537.5,-404111.15625,-404445.75,-404021.96875,-404791.09375,-403717.71875,-406062.53125,-404180.6875,-402954.84375,-405668.21875,-404026.6875,-408103.71875,-404076.0,-404878.6875,-403694.09375,-405187.15625,-406989.5625,-405107.875,-404063.46875,-403949.34375,-405282.5,-406683.15625,-404478.0,-404198.4375,-403126.78125,-407093.21875,-407283.34375,-404962.4375,-404971.6875,-402208.25,-404110.5,-403116.9375,-407702.5625,-405287.4375,-406070.90625,-403806.28125,-403695.4375,-405415.21875,-405462.28125,-404211.03125,-405957.1875,-407166.09375,-405145.4375,-404821.09375,-406280.4375,-403088.25,-406119.6875,-405691.4375,-407262.0,-404911.3125,-407764.90625,-406456.9375,-407001.875,-404134.21875,-404764.40625,-405997.5625,-406246.09375,-405986.625,-407336.3125,-405619.03125,-407030.40625,-406474.09375,-405097.6875,-406872.9375,-406280.78125,-406084.84375,-406641.46875,-407512.53125,-406459.90625,-406114.4375,-407607.96875,-407256.90625,-405968.375,-404718.125,-405112.84375,-405876.75,-406487.25,-407096.6875,-406613.46875,-407303.46875,-405656.90625,-405916.53125,-404638.65625,-405350.0,-402418.5,-404621.1875,-405973.375,-405863.1875,-407724.25,-408685.03125,-406888.53125,-407497.4375,-404761.34375,-406672.75,-406097.96875,-406976.8125,-405686.25,-407659.46875,-407801.6875,-405110.03125,-405629.875,-405657.625,-405472.0,-405931.15625,-406087.03125,-404008.0,-405748.84375,-408123.1875,-407994.3125,-406148.375,-406251.6875,-406911.09375,-407213.46875,-406502.90625,-405144.375,-406626.15625,-405853.71875,-406212.5625,-407135.3125,-407767.25,-406555.71875,-406805.71875,-408416.65625,-406039.09375,-406325.5625,-405364.625,-404785.34375,-408340.96875,-405335.15625,-406797.03125,-405530.21875,-406376.8125,-406514.21875,-406482.8125,-405758.03125,-404339.4375,-408003.875,-404350.90625,-408792.0,-407841.625,-407751.34375,-408978.5625
loss,wall_time,1576306154.5852873,1576306165.4416146,1576306176.2761319,1576306187.13395,1576306197.8723118,1576306208.6928563,1576306219.4832094,1576306231.126472,1576306241.985588,1576306253.0301566,1576306264.0158823,1576306274.9574788,1576306285.8116882,1576306296.7525954,1576306307.6636963,1576306319.1538632,1576306330.0456417,1576306341.0231893,1576306351.824017,1576306362.7514083,1576306373.670247,1576306384.69295,1576306395.6058807,1576306407.1990771,1576306418.1395946,1576306428.9107976,1576306439.6712024,1576306450.5278273,1576306461.4600384,1576306472.380885,1576306483.3117476,1576306494.6999717,1576306505.7210703,1576306516.758156,1576306527.5851123,1576306538.6303473,1576306549.617595,1576306560.5244274,1576306571.4692712,1576306582.8428652,1576306593.7319267,1576306604.7107131,1576306615.48463,1576306626.380098,1576306637.1448503,1576306647.9877787,1576306658.7891886,1576306670.3090086,1576306681.1775963,1576306692.0924864,1576306702.9260414,1576306713.934312,1576306724.8384025,1576306735.6990232,1576306746.567717,1576306757.8431418,1576306768.7181807,1576306779.6534102,1576306790.4735942,1576306801.2517204,1576306812.1330707,1576306822.9923928,1576306833.8564415,1576306845.1937213,1576306856.1108918,1576306866.8905966,1576306877.6979003,1576306888.5704648,1576306899.3837464,1576306910.1973739,1576306921.0748525,1576306932.487833,1576306943.328315,1576306954.2462423,1576306965.1919694,1576306976.1014283,1576306986.9587336,1576306997.8534527,1576307008.7475305,1576307020.5290809,1576307031.3008277,1576307042.0954335,1576307052.8985927,1576307063.8727922,1576307074.8993223,1576307085.7694833,1576307096.6619222,1576307109.7689664,1576307120.5602138,1576307131.3681512,1576307142.2184396,1576307153.0806785,1576307163.9068785,1576307174.8168514,1576307185.784613,1576307197.4974072,1576307208.4892478,1576307219.4686995,1576307230.2333095,1576307241.2250178,1576307252.1294649,1576307262.9169574,1576307273.833509,1576307285.6221666,1576307296.413232,1576307307.2874827,1576307318.0312316,1576307328.9464521,1576307339.831059,1576307350.7428687,1576307361.5433552,1576307372.9036424,1576307383.6957524,1576307394.423022,1576307405.2270694,1576307416.0023184,1576307426.8576553,1576307437.6728323,1576307448.5604787,1576307459.975142,1576307470.775048,1576307481.6722882,1576307492.5711157,1576307503.4399166,1576307514.2534568,1576307525.1284342,1576307536.001869,1576307547.2112522,1576307558.0738416,1576307569.015134,1576307579.81425,1576307590.6771102,1576307601.505156,1576307612.4399815,1576307623.3715892,1576307634.5670648,1576307645.4236126,1576307656.3425934,1576307667.1844282,1576307678.000673,1576307688.8011804,1576307699.6783543,1576307710.6440527,1576307722.4332962,1576307733.2948132,1576307744.2079117,1576307754.958765,1576307765.7457466,1576307776.6021242,1576307787.4855034,1576307798.3056977,1576307809.5697813,1576307820.382132,1576307831.1911447,1576307841.963317,1576307852.6735983,1576307863.6720712,1576307874.4880924,1576307885.355127,1576307896.6707292,1576307907.5901287,1576307918.4082036,1576307929.1722987,1576307940.0681262,1576307950.9664447,1576307961.7715805,1576307972.6178873,1576307984.2597501,1576307995.1825774,1576308005.936149,1576308016.8089356,1576308027.6625462,1576308038.527293,1576308049.3258593,1576308060.222613,1576308071.5672514,1576308082.4610372,1576308093.1879718,1576308104.0401535,1576308114.8144245,1576308125.5984159,1576308136.4890926,1576308147.3726904,1576308158.521568,1576308169.2744377,1576308180.0552273,1576308191.1203127,1576308202.010206,1576308212.827721,1576308223.8142874,1576308234.7444305,1576308246.0549293,1576308256.9634297,1576308267.874099,1576308278.6842215,1576308289.611417,1576308300.5004177,1576308311.4508467,1576308322.3506565,1576308333.7190144,1576308344.6798613,1576308355.4457898,1576308366.3141084,1576308377.2263699,1576308388.1766627,1576308399.0193708,1576308409.8918228,1576308421.3374202,1576308432.1724327,1576308443.1581416,1576308454.1139476,1576308465.0427885,1576308475.9731772,1576308486.8584163,1576308497.7215729,1576308509.6321862,1576308520.3998034,1576308531.1562495,1576308541.981063,1576308552.9190536,1576308563.744843,1576308574.6263175,1576308585.5670583,1576308597.4824631,1576308608.5671644,1576308619.4551241,1576308630.3745341,1576308641.2240398,1576308651.9996912,1576308662.931281,1576308673.809744,1576308685.588957,1576308696.5233545,1576308707.4388645,1576308718.3770635,1576308729.3083372,1576308740.26292,1576308751.238344,1576308762.0298595,1576308773.4331365,1576308784.4802678,1576308795.4795399,1576308806.3619108,1576308817.3726518,1576308828.3725274,1576308839.3493767,1576308850.218504,1576308862.3014219,1576308873.1495051,1576308884.0617807,1576308894.9855366,1576308906.0268245,1576308916.9596093,1576308927.7762055,1576308938.8061376,1576308950.6595335,1576308961.51216,1576308972.5393922,1576308983.562426,1576308994.4487658,1576309005.361377,1576309016.1687608,1576309027.0037467,1576309038.287829,1576309049.2048867,1576309060.2820213,1576309071.1316335,1576309082.07233,1576309092.8440506,1576309103.749708,1576309114.6913393,1576309126.0570602,1576309136.8577695,1576309147.752307,1576309158.5893996,1576309169.4541137,1576309180.3175108,1576309191.0732608,1576309201.8842125,1576309213.5310485,1576309224.4848366,1576309235.3494496,1576309246.0925586,1576309256.9628215,1576309267.8541613,1576309278.5854912,1576309289.461923,1576309300.9735198,1576309311.7338421,1576309322.5294,1576309333.3650033,1576309344.26375,1576309355.0582683,1576309365.7861965,1576309376.5989878,1576309388.1760807,1576309399.0470772,1576309409.8224099,1576309420.780098,1576309431.6352675,1576309442.3895457,1576309453.2557945,1576309464.0983577,1576309475.5537531,1576309486.4241915,1576309497.310846,1576309508.1663084,1576309518.911115,1576309529.7058525,1576309540.6782455,1576309551.5939803,1576309563.1493459,1576309574.0328972,1576309585.0266001,1576309595.8947828,1576309606.7693095,1576309617.6790383,1576309628.563631,1576309639.3707876,1576309650.653463,1576309661.5843315,1576309672.35896,1576309683.1438477,1576309694.1696377,1576309705.003046,1576309715.9922273,1576309726.8297603,1576309738.2233837,1576309749.0626426,1576309759.8691158,1576309770.8434777,1576309781.734774,1576309792.5662594,1576309803.447693,1576309814.3270357,1576309826.1185162,1576309836.9857075,1576309847.8392212,1576309858.7106493,1576309869.5560408,1576309880.322895,1576309891.134735,1576309901.9649036,1576309913.5654006,1576309924.3730676,1576309935.271221,1576309946.053364,1576309956.8781388,1576309967.6523964,1576309978.7035081,1576309989.5441778,1576310001.1470954,1576310011.918324,1576310022.726716,1576310033.4268837,1576310044.1556783,1576310055.0958269,1576310065.963678,1576310076.8791375,1576310088.7413971,1576310099.8153994,1576310110.5875,1576310121.4422262,1576310132.376203,1576310143.1832018,1576310154.051497,1576310164.955917,1576310176.8207943,1576310187.6956341,1576310198.5018666,1576310209.3259554,1576310220.1729078,1576310231.1124117,1576310241.9045365,1576310252.6655087,1576310264.3019648,1576310275.2881103,1576310286.339351,1576310297.211034,1576310308.1961093,1576310319.1477168,1576310330.0746868,1576310341.4838228,1576310352.4236507,1576310363.3805928,1576310374.2280257,1576310385.2105913,1576310396.092942,1576310406.9162645,1576310417.8270526,1576310429.4372516,1576310440.1995475,1576310451.2011137
p_x_loss,value,-3.2435317039489746,-2.6412363052368164,-2.5317609310150146,-2.589881658554077,-2.6148622035980225,-2.5586702823638916,-2.5446360111236572,-0.3923128545284271,0.5958933234214783,0.7944661974906921,0.8671581745147705,0.8884262442588806,0.9856463074684143,0.9467561841011047,0.9390940070152283,0.9410955309867859,1.032880425453186,1.0530023574829102,1.072584629058838,1.1239416599273682,1.1523064374923706,1.1232120990753174,1.1067637205123901,1.116283655166626,1.0985639095306396,1.1380524635314941,1.1817816495895386,1.1184558868408203,1.1507890224456787,1.1819909811019897,1.2067162990570068,1.220022201538086,1.2383203506469727,1.185193657875061,1.2269179821014404,1.2110675573349,1.2160471677780151,1.1617852449417114,1.2286362648010254,1.228175401687622,1.240576982498169,1.1860960721969604,1.239211082458496,1.2516536712646484,1.245261788368225,1.2984212636947632,1.1776554584503174,1.2174103260040283,1.279974102973938,1.2358442544937134,1.2667664289474487,1.2766964435577393,1.3021516799926758,1.3053745031356812,1.2562036514282227,1.2309528589248657,1.313195824623108,1.2974305152893066,1.2829524278640747,1.282075047492981,1.2647011280059814,1.309525728225708,1.245523452758789,1.303510308265686,1.3073307275772095,1.2718920707702637,1.3125652074813843,1.3109157085418701,1.287214994430542,1.2768328189849854,1.3645343780517578,1.3277531862258911,1.3176448345184326,1.3060214519500732,1.3212661743164062,1.3658264875411987,1.3359025716781616,1.3201898336410522,1.355761170387268,1.3571078777313232,1.3226133584976196,1.345412015914917,1.415898084640503,1.4141712188720703,1.350765347480774,1.3794254064559937,1.4019502401351929,1.396648645401001,1.376998782157898,1.3736281394958496,1.4367982149124146,1.358302116394043,1.3753838539123535,1.3949167728424072,1.3849668502807617,1.4248207807540894,1.451850414276123,1.4277983903884888,1.4061901569366455,1.3697346448898315,1.386207103729248,1.3777333498001099,1.3620939254760742,1.3751020431518555,1.416178822517395,1.413499116897583,1.4019036293029785,1.4109958410263062,1.3771525621414185,1.391474962234497,1.4093178510665894,1.392190933227539,1.3602421283721924,1.4374513626098633,1.4061716794967651,1.4091371297836304,1.3846278190612793,1.4207655191421509,1.4095673561096191,1.4330205917358398,1.3762295246124268,1.4128472805023193,1.377570629119873,1.4038091897964478,1.419190526008606,1.387543797492981,1.4284520149230957,1.3945850133895874,1.370120882987976,1.426676869392395,1.4345203638076782,1.376701831817627,1.3963555097579956,1.4245611429214478,1.3938349485397339,1.3981810808181763,1.4136897325515747,1.3636155128479004,1.4155105352401733,1.3898502588272095,1.4038941860198975,1.3681508302688599,1.3454742431640625,1.373917818069458,1.376270055770874,1.3615906238555908,1.4005606174468994,1.3849732875823975,1.3839365243911743,1.4259556531906128,1.3742860555648804,1.4069181680679321,1.3851747512817383,1.3934011459350586,1.4078149795532227,1.3830363750457764,1.3987445831298828,1.4211409091949463,1.3464112281799316,1.3836668729782104,1.3800089359283447,1.397129774093628,1.420152187347412,1.3567484617233276,1.4035695791244507,1.3964431285858154,1.416976809501648,1.3883347511291504,1.408420443534851,1.421410083770752,1.3769689798355103,1.378934621810913,1.4221211671829224,1.3814828395843506,1.3894699811935425,1.460390567779541,1.4184986352920532,1.4107600450515747,1.3758891820907593,1.3942465782165527,1.4198888540267944,1.398693323135376,1.3931782245635986,1.388023853302002,1.3916146755218506,1.4077445268630981,1.406063437461853,1.3962297439575195,1.3884329795837402,1.4455453157424927,1.418237328529358,1.4316275119781494,1.4108490943908691,1.4144476652145386,1.372409701347351,1.4355465173721313,1.3942183256149292,1.4513065814971924,1.4029037952423096,1.3846899271011353,1.406491994857788,1.4253747463226318,1.4250545501708984,1.4374288320541382,1.3781248331069946,1.4161521196365356,1.418892502784729,1.4023795127868652,1.4090588092803955,1.4266210794448853,1.368770956993103,1.4079625606536865,1.4064997434616089,1.430416226387024,1.4140167236328125,1.4255937337875366,1.4275691509246826,1.3888498544692993,1.3994919061660767,1.4657766819000244,1.4253449440002441,1.4282151460647583,1.437925100326538,1.4167120456695557,1.389469861984253,1.457655429840088,1.4249505996704102,1.3738067150115967,1.4023067951202393,1.4517861604690552,1.4205728769302368,1.4028640985488892,1.4349582195281982,1.4145094156265259,1.4416463375091553,1.4288809299468994,1.4785877466201782,1.397983431816101,1.4161927700042725,1.4207887649536133,1.444179892539978,1.429123878479004,1.4113010168075562,1.4556883573532104,1.4313795566558838,1.4138317108154297,1.4295547008514404,1.4099775552749634,1.4481607675552368,1.4474360942840576,1.4182569980621338,1.4486762285232544,1.410574197769165,1.4284121990203857,1.4218963384628296,1.4164279699325562,1.4050318002700806,1.4508044719696045,1.4107497930526733,1.4115175008773804,1.4370726346969604,1.4080694913864136,1.4941400289535522,1.4468352794647217,1.438605785369873,1.4208704233169556,1.4316086769104004,1.4544649124145508,1.4304393529891968,1.4200162887573242,1.4093008041381836,1.4283182621002197,1.4545795917510986,1.4207253456115723,1.4176985025405884,1.4143264293670654,1.4522637128829956,1.462501883506775,1.4205048084259033,1.4266818761825562,1.4067527055740356,1.427074670791626,1.4208629131317139,1.4678666591644287,1.4244096279144287,1.4424453973770142,1.4396346807479858,1.426436185836792,1.4373358488082886,1.422593355178833,1.4189162254333496,1.4456924200057983,1.4590318202972412,1.4720454216003418,1.4194289445877075,1.4377844333648682,1.398262619972229,1.4412063360214233,1.4353784322738647,1.4614298343658447,1.4142762422561646,1.4776932001113892,1.4549473524093628,1.464476466178894,1.4049214124679565,1.4332565069198608,1.460432767868042,1.4407309293746948,1.434736967086792,1.4703128337860107,1.4221221208572388,1.4578912258148193,1.4451099634170532,1.410797119140625,1.4565776586532593,1.4538094997406006,1.4358906745910645,1.4461344480514526,1.4709303379058838,1.4624143838882446,1.4643259048461914,1.4590938091278076,1.472190260887146,1.4388096332550049,1.4107784032821655,1.4331872463226318,1.4441970586776733,1.4490519762039185,1.465975046157837,1.4649285078048706,1.4668161869049072,1.4496853351593018,1.4458613395690918,1.4105284214019775,1.4375618696212769,1.387585997581482,1.4162211418151855,1.4570773839950562,1.451307773590088,1.4677858352661133,1.474460244178772,1.4536199569702148,1.4846638441085815,1.4222289323806763,1.4491158723831177,1.4369691610336304,1.464715600013733,1.4425101280212402,1.4766734838485718,1.4869887828826904,1.4287189245224,1.441190242767334,1.448474645614624,1.447719693183899,1.458388328552246,1.4517004489898682,1.4179902076721191,1.4372429847717285,1.477779507637024,1.493874192237854,1.4551949501037598,1.440242052078247,1.4657623767852783,1.4578638076782227,1.4454060792922974,1.4292882680892944,1.4655646085739136,1.4371262788772583,1.448466420173645,1.4710038900375366,1.4828155040740967,1.465793490409851,1.4672008752822876,1.495543360710144,1.4464601278305054,1.4683903455734253,1.4410641193389893,1.4353452920913696,1.4960765838623047,1.4359889030456543,1.464789867401123,1.4501368999481201,1.4645930528640747,1.4712090492248535,1.456070899963379,1.4531418085098267,1.4345738887786865,1.5143117904663086,1.440976619720459,1.5074747800827026,1.4836182594299316,1.4726282358169556,
